name,imdb_name,imdb_rate,imdb_ppl,storyline
The Colonial Misunderstanding," Le malentendu colonial (2004) aka ""The Colonial Misunderstanding"" ",7.0,30,"In The Colonial Misunderstanding Jean-Marie Teno sheds light on the complex and problematic relationship between colonization and European missionaries on the African continent. The film looks at Christian evangelism as the forerunner of European colonialism in Africa, indeed, as the ideological model for the relationship between North and South even today. In particular it looks at the role of missionaries in Namibia on the centenary of the 1904 German genocide of the Herrero people there. It reveals how colonialism destroyed African beliefs and social systems and replaced them with European ones as if they were the only acceptable routes to modernity. As Prof. F. Kangué Ewané says in the film: ""I can forgive Westerners for taking away my land ...but not for taking away my mind and soul."" Through an examination of the work of German missionary societies in Africa whose vocation was to bring Christianity - and by extension, European culture and European rule - to the heathens, Jean Marie Teno reveals The Colonial Misunderstanding. —from JMTeno.us"
Restless City, Restless City (2011) ,5.6,262,"Tells the story of an African immigrant surviving on the fringes of New York City where music is his passion, life is a hustle and falling in love is his greatest risk."
Conversations on a Sunday Afternoon, Conversations on a Sunday Afternoon (2005) ,7.2,60,A writer trying to locate a woman he met at a park encounters numerous refugees who have made South Africa their home.
Belle, Belle (2021) ,7.3,1.1K,"Suzu is a shy, everyday high school student living in a rural village. For years, she has only been a shadow of herself. But when she enters ""U"", a massive virtual world, she escapes into her online persona as Belle, a gorgeous and globally-beloved singer. One day, her concert is interrupted by a monstrous creature chased by vigilantes. As their hunt escalates, Suzu embarks on an emotional and epic quest to uncover the identity of this mysterious ""beast"" and to discover her true self in a world where you can be anyone."
Requiem for a Dream, Requiem for a Dream (2000) ,8.3,803K,"Sara Goldfarb (Ellen Burstyn) is a retired widow, living in a small apartment. She spends most of her time watching TV, especially a particular self-help show. She has delusions of rising above her current dull existence by being a guest on that show. Her son, Harry (Jared Leto) is a junkie but along with his friend Tyrone (Marlon Wayans) has visions of making it big by becoming a drug dealer. Harry's girlfriend Marion (Jennifer Connelly) could be fashion designer or artist but is swept along in Harry's drug-centric world. Meanwhile Sara has developed an addiction of her own. She desperately wants to lose weight and so goes on a crash course involving popping pills, pills which turn out to be very addictive and harmful to her mental state. —grantss"
Antichrist, Antichrist (2009) ,6.6,122K,"A grieving couple retreat to their cabin in the woods, hoping to repair their broken hearts and troubled marriage, but nature takes its course and things go from bad to worse."
The Child, The Child (2005) ,7.4,18K,"Young, unmarried couple Sonia and Bruno have just had a son, who Sonia names Jimmy. Bruno, who did not visit her while she was in the hospital, scoffs at the notion of what he considers traditional employment, instead eking out a living primarily on petty crimes committed with his fourteen year old associate, Steve. He even sublets Sonia's small apartment while she is in the hospital, he sleeping either in the homeless shelter or squatting in what he calls his ""shack"" down by the river. On the day after Sonia gets out of the hospital, she allows Bruno to take Jimmy for a walk while she stands in line for her benefits. On that walk, Bruno makes the unilateral decision to sell Jimmy to a black market adoption agency. Upon finding out what Bruno has done, Sonia has a breakdown and falls unconscious. Fearing that Sonia will turn him over to the police when she regains consciousness, Bruno tries to get Jimmy back while he leaves Sonia in the hospital in her unconscious state. But Bruno will soon learn that regaining Sonia's trust will not be as simple as getting Jimmy back. And he will also learn that getting Jimmy back is not as easy as giving back the money. —Huggo"
Kill Bill: Vol. 1, Kill Bill: Vol. 1 (2003) ,8.1,1.1M,"The lead character, called 'The Bride,' was a member of the Deadly Viper Assassination Squad, led by her lover 'Bill.' Upon realizing she was pregnant with Bill's child, 'The Bride' decided to escape her life as a killer. She fled to Texas, met a young man, who, on the day of their wedding rehearsal was gunned down by an angry and jealous Bill (with the assistance of the Deadly Viper Assassination Squad). Four years later, 'The Bride' wakes from a coma, and discovers her baby is gone. She, then, decides to seek revenge upon the five people who destroyed her life and killed her baby. The saga of Kill Bill Volume I begins. —JD"
Irreversible, Irreversible (2002) ,7.4,128K,"A young woman, Alex, is raped by a stranger in a tunnel. Her boyfriend Marcus and ex-boyfriend Pierre decide to do justice themselves. In 2002, Gaspar Noé created controversy (and controversy) by presenting his film at the Cannes Film Festival. 17 years later, he returns with a brand new version of his cult film. Initially operated in an anechronological form (the film starts at the end and ends at its beginning), with Irreversible ""Full Inversion"" (2019), the filmmaker offers us a completely different reading, offering it to us in a chronological order."
Amour, Amour (2012) ,7.9,97K,"Georges and Anne are a couple of retired music teachers enjoying life in their eighties. However, Anne suddenly has a stroke at breakfast and their lives are never the same. That incident begins Anne's harrowingly steep physical and mental decline as Georges attempts to care for her at home as she wishes. Even as the fruits of their lives and career remain bright, the couple's hopes for some dignity prove a dispiriting struggle even as their daughter enters the conflict. In the end, George, with his love fighting against his own weariness and diminished future on top of Anne's, is driven to make some critical decisions for them both. —Kenneth Chisholm (kchishol@rogers.com)"
